Date,Speed,Density,Kp_Index,Sunspots,Bz
2000-01-01,721.0,2.0,4.0,71,-0.0
2000-01-02,679.0,2.0,3.0,75,0.4
2000-01-03,588.0,2.3,2.7,80,-0.1
2000-01-04,577.0,2.3,2.7,95,-0.6
2000-01-05,521.0,2.3,3.3,108,-1.6
2000-01-06,533.0,4.0,3.3,126,-0.0
2000-01-07,522.0,2.5,2.3,126,-0.1
2000-01-08,439.0,2.3,1.3,111,0.1
2000-01-09,357.0,5.3,0.7,112,0.0
2000-01-10,334.0,11.2,1.7,96,-1.0
2000-01-11,457.0,9.3,3.3,133,-1.5
2000-01-12,568.0,2.8,2.3,198,0.9
2000-01-13,537.0,2.5,2.3,226,-0.2
2000-01-14,467.0,3.3,2.0,242,0.1
2000-01-15,418.0,3.2,1.7,232,-0.1
2000-01-16,389.0,3.6,1.7,241,-1.3
2000-01-17,364.0,3.2,0.7,193,-0.3
2000-01-18,320.0,3.6,0.7,177,-1.4
2000-01-19,295.0,15.3,1.0,168,-0.1
2000-01-20,376.0,10.5,2.3,140,0.0
2000-01-21,359.0,4.7,0.3,130,1.7
2000-01-22,375.0,18.6,3.3,124,-5.3
2000-01-23,381.0,11.9,3.3,121,-1.1
2000-01-24,366.0,4.3,2.7,118,-4.5
2000-01-25,335.0,6.2,1.7,126,-2.5
2000-01-26,351.0,7.9,1.7,114,-1.7
2000-01-27,394.0,29.8,3.0,103,2.1
2000-01-28,718.0,2.7,4.3,89,0.5
2000-01-29,722.0,1.8,4.3,90,-0.8
2000-01-30,646.0,2.6,3.0,75,0.6
2000-01-31,585.0,2.8,2.3,86,0.9
2000-02-01,530.0,2.7,2.0,104,0.7
2000-02-02,457.0,4.2,2.0,94,0.5
2000-02-03,432.0,5.2,2.3,119,-0.2
2000-02-04,400.0,5.0,1.3,145,1.2
2000-02-05,396.0,9.6,2.0,153,-0.4
2000-02-06,586.0,7.2,4.3,200,-1.0
2000-02-07,629.0,3.1,4.3,191,-0.9
2000-02-08,570.0,2.7,3.0,188,-0.8
2000-02-09,459.0,4.0,2.3,160,-0.3
2000-02-10,444.0,3.9,2.3,179,0.2
2000-02-11,449.0,6.6,3.0,167,-1.3
2000-02-12,553.0,11.6,5.0,166,-2.6
2000-02-13,558.0,3.2,3.0,158,0.0
2000-02-14,604.0,5.6,4.3,175,-1.0
2000-02-15,509.0,6.1,3.0,173,-0.1
2000-02-16,415.0,5.2,1.7,192,-0.3
2000-02-17,394.0,3.6,1.3,160,-0.3
2000-02-18,371.0,3.5,0.3,153,2.5
2000-02-19,354.0,4.5,0.7,131,1.1
2000-02-20,340.0,7.8,1.0,112,1.7
2000-02-21,423.0,15.8,3.3,135,3.2
2000-02-22,367.0,7.9,1.7,147,7.5
2000-02-23,397.0,14.6,2.3,139,3.9
2000-02-24,657.0,7.8,4.0,180,2.1
2000-02-25,721.0,1.7,3.3,192,0.6
2000-02-26,649.0,2.5,3.0,211,0.4
